27,https://images-na.ssl-images-amazon.com/images/I/418f2pgY5CL._AC_US218_.jpg,"Dell Gaming Laptop - 15"" FHD 8th Gen Intel Core i7-8750H CPU 16GB RAM 256GB SSD+1TB HDD NVIDIA GeForce GTX 1050TI Windows 10 Home Black - G3579-7989BLK-PUS",,,,15.6 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 1000 GB,,,,,,,Dell,1069,Notebook,Notebooks,,,,,
28,https://images-na.ssl-images-amazon.com/images/I/41VCf3HiJdL._AC_US218_.jpg,ASUS ZenBook Flip Ultra-Slim - 14” FHD wideview display Intel Core i7-8550U 16GB RAM 512GB NVMe PCIe SSD Nvidia MX150 Windows 10 Home Backlit keyboard Fingerprint Stylus pen - UX461UN-DS74T,,,,14.0 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 512 GB,,,,,,,Asus,1234.99,Notebook,Notebooks,,,,,
29,https://images-na.ssl-images-amazon.com/images/I/51jQ9WEwrGL._AC_US218_.jpg,"2018 Lenovo 330 17.3"" HD+ LED Backlight Laptop Computer 8th Gen Quad Core i5-8250U up to 3.40GHz 8GB DDR4 RAM 1TB HDD DVDRW 802.11ac WiFi Bluetooth Type-C HDMI Windows 10",,,,17.3 inches | Windows 10 | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Lenovo,486.02,Notebook,Notebooks,,,,,
30,https://images-na.ssl-images-amazon.com/images/I/51AoDjwwLlL._AC_US218_.jpg,"ASUS S510UN-EH76 VivoBook S 15.6"" Full HD Laptop Intel Core i7-8550U NVIDIA GeForce MX150 8GB RAM 256GB SSD + 1TB HDD Windows 10",,,,15.6 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 1000 GB,,,,,,,Asus,829.99,Notebook,Notebooks,,,,,
31,https://images-na.ssl-images-amazon.com/images/I/41sXk56vFDL._AC_US218_.jpg,"2018 Lenovo Flex 5 15 2-IN-1 Laptop: 15.6"" IPS Touchscreen Full HD (1920x1080) Intel Quad Core i7-8550U 512GB SSD 16GB DDR4 NVIDIA 940MX Backlit Keys Windows 10 - Black (Certified Refurbished)",,,,15.6 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 512.0 GB,,,,,,,Lenovo,849,Notebook,Notebooks,,,,,
32,https://images-na.ssl-images-amazon.com/images/I/51bS1MQPoCL._AC_US218_.jpg,Apple MacBook Air 13.3-Inch Laptop MD760LL/B 1.4 GHz Intel i5 Dual Core Processor (Certified Refurbished),,,,13.3 inches | OS X Mavericks 10.9 | core Intel Core i5 | 4.0 GB | 128.0 GB,,,,,,,Apple,549,Notebook,Notebooks,,,,,
33,https://images-na.ssl-images-amazon.com/images/I/41Ve11RVsqL._AC_US218_.jpg,"2018 HP 15.6"" Touch Screen Laptop with Intel Core i3 Processor 8GB RAM 1TB Hard Drive HDMI USB 3.1 Bluetooth Windows 10 - Jet black",,,,15.6 inches | Windows 10 | 8.0 GB | 1.0 TB | HDD 5400 rpm,,,,,,,HP,514.9,Notebook,Notebooks,,,,,
34,https://images-na.ssl-images-amazon.com/images/I/41zU4J3FBiL._AC_US218_.jpg,ASUS ROG Zephyrus M (GM501GS-XS74) 15.6” Ultra Slim Gaming Laptop 144Hz IPS-Type G-SYNC Panel GTX 1070 8GB Intel Core i7-8750H (up to 3.9GHz) 256GB PCIe SSD + 1TB FireCuda 16GB DDR4 2666MHz,,,,15.6 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 1000 GB,,,,,,,Asus,2199,Notebook,Notebooks,,,,,
35,https://images-na.ssl-images-amazon.com/images/I/41lwqokuEsL._AC_US218_.jpg,"2018 Dell Business Flagship Laptop Notebook 15.6"" HD LED-Backlit Display Intel i5-7200U Processor 8GB DDR4 RAM 256GB SSD DVD-RW HDMI Webcam Bluetooth Windows 10 Pro-Black",,,,15.6 inches | Windows 10 Professional | core Intel Core i5 | 8.0 GB | 256.0 GB,,,,,,,Dell,583,Notebook,Notebooks,,,,,
36,https://images-na.ssl-images-amazon.com/images/I/41CY39tsJOL._AC_US218_.jpg,"HP 14-ax040wm Laptop Intel Celeron N3060 1.6 GHz 32 GB Windows 10 Home 64 Bit Black 14""",,,,14.0 inches | Windows 10 Home 64 Bit | intel celeron d | 4.0 GB | 32 GB,,,,,,,HP,191.01,Notebook,Notebooks,,,,,
